track_id,name,album,artists,url,acousticness,danceability,energy,instrumentalness,speechiness,valence,duration,loudness,tempo,time_signature,key,mode
1FdJxUa6Unnz59ovZrez0H,You Can't Put Your Arms Around a Memory,Paid Testimony,Baba Stiltz,https://open.spotify.com/track/1FdJxUa6Unnz59ovZrez0H,0.925,0.485,0.458,0.521,0.0285,0.512,183.28609,-9.584,113.441,4,5,1
6Dw57FgT69AaP2btUGsLnb,Só O Amor,No Reino Dos Afetos,Bruno Berle,https://open.spotify.com/track/6Dw57FgT69AaP2btUGsLnb,0.984,0.591,0.585,0.86,0.0402,0.517,112.09333,-10.901,103.844,4,10,0
6VPvK3peu3DJHZckeKsOhG,Fantas for Electric Guitar,Fantas Variations,"Caterina Barbieri, Walter Zanetti",https://open.spotify.com/track/6VPvK3peu3DJHZckeKsOhG,0.883,0.334,0.308,0.823,0.032,0.144,449.68484,-14.12,91.125,4,0,0
1LzNfuep1bnAUR9skqdHCK,Fade Into You,So Tonight That I Might See,Mazzy Star,https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK,0.245,0.42,0.33,0.000679,0.0275,0.175,295.6,-13.925,157.113,3,9,1
1l7JlXNhgZSarA9dHFR4JT,close your eyes,comfortable silence,"tomcbumpz, ivri",https://open.spotify.com/track/1l7JlXNhgZSarA9dHFR4JT,0.873,0.565,0.474,0.62,0.0727,0.55,88.08667,-12.219,166.068,4,2,1
7glKwbR1DyuIuE6XvZvJbQ,#3,Selected Ambient Works Volume II,Aphex Twin,https://open.spotify.com/track/7glKwbR1DyuIuE6XvZvJbQ,0.911,0.159,0.071,0.856,0.0409,0.0602,464.29333,-27.109,146.977,5,6,0
3sAcsAVnlvrJK4R2PWliot,Someone to Chill With,Sensational,Erika de Casier,https://open.spotify.com/track/3sAcsAVnlvrJK4R2PWliot,0.0754,0.61,0.757,0.0106,0.0377,0.468,199.70467,-6.271,162.05,4,2,0
03d5V0uvYp3hU7wE9mJzJa,Queen St. Gang,Arzachel,Arzachel,https://open.spotify.com/track/03d5V0uvYp3hU7wE9mJzJa,0.0225,0.454,0.447,0.889,0.0273,0.429,265.92,-13.387,74.474,4,9,0
6dYbFHdxG1yjsfejNT9mcW,"Alone, Omen 3",Man Alive!,King Krule,https://open.spotify.com/track/6dYbFHdxG1yjsfejNT9mcW,0.147,0.518,0.537,0.752,0.026,0.229,167.25333,-9.461,66.291,4,2,0
52Pyhmuoxg9LmxO6L4qnsA,f1 racer (ft. KUČKA),MK 3.5: Die Cuts | City Planning,"Mount Kimbie, Dom Maker, KUČKA",https://open.spotify.com/track/52Pyhmuoxg9LmxO6L4qnsA,0.983,0.656,0.203,0.772,0.0574,0.419,146.72,-14.992,143.915,4,10,1
03g7X9n84hslEdLA1kGXUg,Wild Ride,Paid Testimony,Baba Stiltz,https://open.spotify.com/track/03g7X9n84hslEdLA1kGXUg,0.93,0.437,0.624,0.871,0.0555,0.587,168.55914,-8.906,134.781,4,7,0
4piw7HoGetgUvTnySynYso,Dor Fodida,Estrela Acesa,Sessa,https://open.spotify.com/track/4piw7HoGetgUvTnySynYso,0.859,0.582,0.215,0.894,0.0384,0.202,280.96045,-15.891,126.736,4,8,1
1MnjV4PWoS7NZb4dR6ehGO,bugbite,comfortable silence,tomcbumpz,https://open.spotify.com/track/1MnjV4PWoS7NZb4dR6ehGO,0.966,0.423,0.258,0.967,0.0681,0.724,60.11451,-27.955,167.709,4,3,1
4pGxnHLyli1TLkRFHyBxo0,Angel,NO THANK YOU,Little Simz,https://open.spotify.com/track/4pGxnHLyli1TLkRFHyBxo0,0.902,0.6,0.689,2.63e-05,0.364,0.852,352.17868,-8.023,99.802,4,1,0
0BzxkMKSG13hgNFRClTF1A,Passages,Lushlife,Bowery Electric,https://open.spotify.com/track/0BzxkMKSG13hgNFRClTF1A,0.0948,0.451,0.568,0.652,0.0468,0.202,398.57333,-10.238,93.434,4,7,1
